skill_a,name_a,type_a,skill_b,name_b,type_b,similarity
deposition-summary-page-line,Deposition Summary - Page-line,form,deposition-summaries-deep-analysis,Deposition Summaries - Deep Analysis,form,0.9461
corporate-securities-and-capital-markets,securities and capital markets,root,regulatory-securities-and-capital-markets,securities and capital markets,root,0.9375
draft-environmental-indemnity-agreement,Environmental Indemnity Agreement,form,environmental-indemnity-agreement-transactional,Environmental Indemnity Agreement (Transactional),form,0.9368
corporate-finance-term-loan-agreement-draft,Term Loan Agreement,form,draft-term-loan-agreement,Loan Agreement (Term),form,0.9307
discovery-summarization,Discovery Summarization,form,litigation-discovery-document-summarization,Discovery Document Summarization,form,0.9273
transactional-employment-arbitration-agreement-draft,Arbitration Agreement (Employment),form,employee-arbitration-agreement,Employee Arbitration Agreement,form,0.9243
transactional-mergers-and-acquisitions,mergers and acquisitions,root,corporate-mergers-and-acquisitions,mergers and acquisitions,root,0.9209
police-report-summaries,Police Report Summaries,form,police-incident-report-summary,Police/Incident Report Summary,form,0.9203
litigation-class-action-motion-final-settlement-approval,Motion for Final Approval of Settlement,form,litigation-class-action-motion-for-preliminary-approval-of-settlement,Motion for Preliminary Approval of Settlement,form,0.9174
litigation-personal-injury-settlement-demand-letter,Settlement Demand Letter,form,litigation-personal-injury-demand-letter,Demand Letter,form,0.9161
draft-pre-trial-statement-commercial-litigation,Pre-Trial Statement,form,litigation-commercial-pre-trial-statement-report,Pre-Trial Statement/Report,form,0.9143
transactional-corporate-governance,corporate governance,root,corporate-corporate-governance,corporate governance,root,0.9100
discovery-summarization,Discovery Summarization,form,discovery-document-summaries,Discovery Document Summaries,form,0.9096
discovery-document-summaries,Discovery Document Summaries,form,litigation-discovery-document-summarization,Discovery Document Summarization,form,0.9088
settlement-summaries,Settlement Summaries,form,settlement-agreement-summaries,Settlement Agreement Summaries,form,0.9052
settlement-agreement-summaries,Settlement Agreement Summaries,form,draft-settlement-summaries,Draft Settlement Summaries,form,0.9038
litigation-e-discovery-esi-protocol,E-Discovery Protocol (ESI Protocol),form,e-discovery-protocol-agreement,E-Discovery Protocol Agreement,form,0.9027
