slug,name,skill_type,level,root_slug,visibility,content_chars,content_lines,has_embedding,practice_areas
animal-welfare-act-compliance-audit,Animal Welfare Act Compliance Audit,root,0,animal-welfare-act-compliance-audit,public,41823,170,f,
background-check-summary,Background Check Summary,form,0,background-check-summary,public,7910,195,f,"[""Corporate"", ""Criminal"", ""Transactional""]"
bad-actor-disqualification-review,Bad Actor Disqualification Review (Rule 506(d)),root,0,bad-actor-disqualification-review,public,35767,150,f,
california-discovery-separate-statement-generator,Separate Statement of Discovery Responses (CA),root,0,california-discovery-separate-statement-generator,public,32585,174,f,
case-summary,Case Summary,form,0,case-summary,public,39801,1376,f,[]
citation-bluebook,Bluebook Citation Format,reference,0,citation-bluebook,public,709,26,t,
compare-advance-directive-vs-polst,Compare Advance Directive vs. POLST/MOLST,root,0,compare-advance-directive-vs-polst,public,30538,138,f,
corporate,Corporate Practice,root,0,corporate,public,548,20,t,"[""Corporate""]"
communication-summarization,Communication Summarization,form,1,corporate,public,3781,16,t,"[""Corporate""]"
legal-article-summaries,Legal Article Summaries,form,1,corporate,public,5799,34,t,"[""Corporate""]"
legal-conference-summaries,Legal Conference Summaries,form,1,corporate,public,5169,24,t,"[""Corporate""]"
legal-newsletter-summaries,Legal Newsletter Summaries,form,1,corporate,public,5455,22,t,"[""Corporate""]"
corporate-corporate-dissolution,corporate dissolution,root,1,corporate,public,103,2,t,"[""Corporate""]"
corporate-corporate-finance,corporate finance,root,1,corporate,public,99,2,t,"[""Corporate""]"
corporate-corporate-formation,corporate formation,root,1,corporate,public,101,2,t,"[""Corporate""]"
corporate-corporate-governance,corporate governance,root,1,corporate,public,102,2,t,"[""Corporate""]"
corporate-mergers-and-acquisitions,mergers and acquisitions,root,1,corporate,public,106,2,t,"[""Corporate""]"
corporate-non-profit-organizations,non profit organizations,root,1,corporate,public,106,2,t,"[""Corporate""]"
corporate-securities-and-capital-markets,securities and capital markets,root,1,corporate,public,112,2,t,"[""Corporate""]"
corporate-venture-capital-and-private-equity,venture capital and private equity,root,1,corporate,public,116,2,t,"[""Corporate""]"
corporate-action-by-written-consent-of-incorporator,Action by Written Consent of Incorporator,form,2,corporate,public,5671,36,t,"[""Corporate""]"
amended-and-restated-certificate-of-incorporation,Amended and Restated Certificate of Incorporation,form,2,corporate,public,29095,86,t,"[""Corporate""]"
annual-report-state-charity-bureau,Annual Report for State Charity Bureau,form,2,corporate,public,26378,454,t,"[""Corporate"", ""Regulatory""]"
articles-of-dissolution,Articles of Dissolution,form,2,corporate,public,9936,38,t,"[""Corporate""]"
corporate-articles-of-incorporation,Articles of Incorporation,form,2,corporate,public,23534,72,t,"[""Corporate""]"
articles-of-incorporation-non-profit,Articles of Incorporation (Non-Profit),form,2,corporate,public,30250,138,t,"[""Corporate""]"
corporate-mergers-and-acquisitions-asset-purchase-agreement-draft,Asset Purchase Agreement,form,2,corporate,public,87291,276,t,"[""Corporate"", ""Transactional""]"
bill-of-sale-and-assignment,Bill of Sale and Assignment,form,2,corporate,public,6923,42,t,"[""Corporate"", ""Transactional""]"
blue-sky-filings,Blue Sky Filings,form,2,corporate,public,32251,128,t,"[""Corporate"", ""Regulatory""]"
board-committee-charter-audit-compensation,Board Committee Charter Audit Compensation,form,2,corporate,public,35411,122,t,"[""Corporate""]"
corporate-governance-board-meeting-summaries,Board Meeting Summaries,form,2,corporate,public,3947,18,t,"[""Corporate""]"
corporate-board-resolution-dissolution,Board Resolution to Dissolve,form,2,corporate,public,9326,42,t,"[""Corporate""]"
bylaw-amendment-resolution,Bylaw Amendment Resolution,form,2,corporate,public,11680,48,t,"[""Corporate""]"
corporate-non-profit-bylaws-draft,Bylaws for Non-Profit Corporation,form,2,corporate,public,14703,66,t,"[""Corporate""]"
corporate-capital-call-notice-draft,Capital Call Notice,form,2,corporate,public,10982,56,t,"[""Corporate"", ""Transactional""]"
corporate-certificate-of-incumbency,Certificate of Incumbency,form,2,corporate,public,12875,56,t,"[""Corporate""]"
certificate-of-withdrawal-foreign-corp,Certificate of Withdrawal (Foreign Corp),form,2,corporate,public,6325,30,t,"[""Corporate""]"
charitable-solicitation-registration,Charitable Solicitation Registration,form,2,corporate,public,19320,70,t,"[""Corporate"", ""Regulatory""]"
client-intake-summaries,Client Intake Summaries,form,2,corporate,public,4731,20,t,"[""Corporate""]"
corporate-governance-client-memo,Client Memo,form,2,corporate,public,2840,12,t,"[""Corporate""]"
corporate-mergers-and-acquisitions-closing-checklist,Closing Checklist,form,2,corporate,public,24922,96,t,"[""Corporate"", ""Transactional""]"
